country,description,designation,points,price,province,region_1,title,variety,winery,year,location,avg_temp,range_temp,stdv_temp,avg_precip,range_precip,stdv_precip,lat,lng,elevation,review_length,abv,bottle_size,category,importer
Austria,"The slightest and most haunting aromatic promise is made on the nose. The palate does not disappoint and follows up in waves of fruit-tinged petals and floral fruitiness. The texture is taut, dense and packed with crushed blueberry and cherry, yet there is a lightness of touch and an unforced charm that make this very, very attractive. Freshness and white pepper add the finishing touches. Lovely.",,93,37,Leithaberg,,Tinhof 2012 Blaufrankisch (Leithaberg),Blaufränkisch,Tinhof,2012,"Leithaberg,Austria",7.394704769,19.45019365,6.792561746,80.54383606,50.32248083,15.54089694,47.88822,16.581004,369,66,14,750,Red,Carlo Huber Selections
United States of America,"Mataro is another name for Mourvèdre. The wine tastes like a good Zinfandel, very dry, not too alcoholic, with savory, black pepper-infused flavors of wild black and blue berries, licorice, gingersnap cookie, and sweet leather. The feeling in the mouth is just fine, a smooth, full-bodied caress of sturdy tannins and brisk acidity.",Old Vine,90,28,California,Contra Costa County,Trinitas 2005 Old Vine Mataro (Contra Costa County),Mataro,Trinitas,2005,"Contra Costa County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,37.903481,-121.917534,346,53,14.5,750,Red,not_imported
United States of America,"As always with this vineyard, the wine is superripe, almost overripe, with extracted pineapple, pear, nectarine and peach flavors that are impossibly ripe. New oak adds even richer vanilla, caramel and buttered toast notes. Great acidity and a firm minerality fortunately balance all this flamboyance, but it's still a pretty powerful Chardonnay. Drink with rich lobster, scallop and tuna dishes.",Sleepy Hollow Vineyard,93,40,California,Santa Lucia Highlands,Talbott 2009 Sleepy Hollow Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,Talbott,2009,"Santa Lucia Highlands,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,60,14.9,750,White,not_imported
United States of America,"This Chardonnay is marked by tart acidity, lemon and pear flavors and oak. While it's technically dry, it has a honeyed note that suggests Asian fare, or Sunday brunch with a cheese omelet.",,87,28,California,Carneros,Clos du Val 2011 Chardonnay (Carneros),Chardonnay,Clos du Val,2011,"Carneros,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,35.433993,-119.875774,518,33,13.5,750,White,not_imported
United States of America,"In addition to the fig and yellow apple aromas, there's noticeable tropicality on the nose of this wine, but it tightens around tart Meyer lemon pith and crushed ants. Ripe lemons also power the sharp and pithy palate, which offers a shred of roasted almonds and marzipan.",,90,24,California,Edna Valley,Talley 2013 Chardonnay (Edna Valley),Chardonnay,Talley,2013,"Edna Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,28.978595,-96.646088,25,47,14.2,750,White,not_imported
United States of America,"A Bordeaux blend of five grapes, this melds blackberry and black cherry fruit with plenty of toasty oak and ground coffee. It's a nice mix of fruit and barrel, dark and smoky, but not too heavy at 14.2% alcohol.",Sur La Mer,91,28,Washington,Columbia Valley (WA),William Church 2007 Sur La Mer Red (Columbia Valley (WA)),Bordeaux-style Red Blend,William Church,2007,"Columbia Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.294767,-117.91747,711,39,14.2,750,Red,not_imported
United States of America,"Here's a good Sauvignon Blanc that will go well with a wide range of foods. Clean, crisp and a little sweet, it has pleasant pineapple, lemon, lime and vanilla flavors.",,85,18,California,Napa Valley,Rutherford Hill 2009 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Rutherford Hill,2009,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.023468,-84.450465,243,30,13.9,750,White,not_imported
United States of America,"Fresh, primary red-cherry and raspberry flavors get a kick of cherry-cola spice and vanilla here. It's an approachably plummy, juicy red with soft, feathery tannins, but puckering cranberry acidity keeps it fresh. Drink now through 2020.",,87,34,New York,North Fork of Long Island,Sannino 2014 Cabernet Franc (North Fork of Long Island),Cabernet Franc,Sannino,2014,"North Fork of Long Island,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,36,13.1,750,Red,not_imported
Italy,"Made with 80% Sangiovese, 10% Syrah and 10% Cabernet Sauvignon, this offers aromas of forest floor, scorched earth, roasted coffee bean and dark spice. The firm dense palate offers blackberry jam, dried cherry, licorice and espresso alongside substantial close-grained tannins that give the finish grip.",Molin Vecchio,91,65,Tuscany,Toscana,Carpineto 2009 Molin Vecchio Red (Toscana),Red Blend,Carpineto,2009,"Toscana,Tuscany,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,43.792284,11.332806,319,45,13.5,750,Red,Opici Wines
France,"Full of raspberry fruits but also with some structure, this is a ready-to-drink apéritif wine. Lively acidity give it a crisp aftertaste.",Nuit Blanche en Provence,87,15,Provence,Côtes de Provence,Mas de Cadenet 2013 Nuit Blanche en Provence Rose (Cotes de Provence),Rosé,Mas de Cadenet,2013,"Côtes de Provence,Provence,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,43.449913,6.656105,10,22,13,750,Rose,David Bowler Wine
United States of America,"So much is happening on the nose and palate of this bottling that it can hold one's attention for hours. Rich aromas of cola, cocoa, coffee, dred black cherry, oregano, black pepper, dried herbs and slow-roasted beef lead into a palate packed with peppercorn sauce, tangy dried berries and hints of ancho chile-chocolate. After wading through layers of herbs, the finish is minty.",Bentley Ironworks,94,45,California,Paso Robles,Mattucci 2013 Bentley Ironworks Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Mattucci,2013,"Paso Robles,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,35.626765,-120.691246,231,63,14.8,750,Red,not_imported
United States of America,"A super Tuscan blend, half Sangiovese, the other half split between Cabernet Sauvignon and Syrah. It's quite a success; bright and spicy, the fruit flavors crisply defined, mixing raspberry, blackberry and cherry. Clean and deep, with polished tannins, and just a hint of heat in the finish.",Twelve Red,90,36,Washington,Columbia Valley (WA),Lowden Hills 2008 Twelve Red Red (Columbia Valley (WA)),Red Blend,Lowden Hills,2008,"Columbia Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.294767,-117.91747,711,47,750,750,Red,not_imported
France,"This rich and impressive wine has structure and a firm texture, partly from the Cabernet Sauvignon in the blend (45% Grenache, 35% Syrah, 20% Cabernet Sauvignon). It is dense and full of juicy red fruits, caramel and delicious spice. Production is only 2,500 cases. It would be worth aging for a few more months, so drink from late 2015.",,91,20,Provence,Coteaux d'Aix-en-Provence,Chateau Vignelaure 2014 Rose (Coteaux d'Aix-en-Provence),Rosé,Château Vignelaure,2014,"Coteaux d'Aix-en-Provence,Provence,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,39.78373,-100.445882,833,59,13,750,Rose,MacArthur Beverages
United States of America,A light citrus and pine scent is the first impression then the flavors of this medium-bodied wine turn to ripe pear and apple notes. It feels full and smooth on the tongue. It's a nice choice when you're on a budget.,,85,10,California,North Coast,Illuminate 2013 Chardonnay (North Coast),Chardonnay,Illuminate,2013,"North Coast,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,31.079151,29.73636,6,41,14.5,750,White,not_imported
Portugal,"Aragonez (aka Tempranillo) is the backbone of this finely textured wine. The fruit and the tannins are well integrated giving a rich wine that is also stylish. The acidity, the wood texture and the ripe red-berry fruits are all showing potential. Drink the wine now.",Portuguese Red,92,21,Lisboa,,Quinta de Sant'Ana 2013 Portuguese Red Red (Lisboa),Portuguese Red,Quinta de Sant'Ana,2013,"Lisboa,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,38.707751,-9.136592,10,45,14,750,Red,Halby Marketing
United States of America,"A bit on the thin, simple side, but packs plenty of flavor in the form of ripe raspberries, cherries, milk chocolate and cola. The grapes come from both the Central Valley and the Arroyo Seco appellation.",,84,14,California,California,Echelon 2010 Pinot Noir (California),Pinot Noir,Echelon,2010,"California,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,36.701463,-118.755997,2761,36,13,750,Red,not_imported
United States of America,"While delicate in frame, layers of exotic spice and vanilla amidst creamy peach and tangerine flavors lend flamboyance to this Chardonnay. It's forward and a bit oaky, but finishes vibrantly and briskly.",Barrel Fermented,87,15,New York,Finger Lakes,Wagner 2014 Barrel Fermented Chardonnay (Finger Lakes),Chardonnay,Wagner,2014,"Finger Lakes,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.621495,-84.198677,277,32,12.5,750,White,not_imported
United States of America,"With the addition of 8% Petite Sirah for color, this jammy bottling offers boysenberry and blueberry fruit, along with oregano and a touch of tar on the nose. Deep berry flavors and lava rock minerality lead the palate, with peppercorn and roasted herb notes adding depth, and a tannic backbone providing structure.",,90,34,California,Paso Robles,Sculpterra 2015 Primitivo (Paso Robles),Primitivo,Sculpterra,2015,"Paso Robles,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,35.626765,-120.691246,231,52,16,750,Red,not_imported
Italy,"This delivers a delicate bouquet of wild berry, white cherry, peppercorn, dried mint and forest floor. The aromatic intensity of this ruby-colored wine is intense and pure.",Mason,89,38,Northeastern Italy,Alto Adige,Manincor 2009 Mason Pinot Nero (Alto Adige),Pinot Nero,Manincor,2009,"Alto Adige,Northeastern Italy,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,46.655969,11.229644,1499,27,13,750,Red,Angel's Share Wines
United States of America,"Suddenly Washington vintners are awash in Chardonnay, many value priced such as this new one from Airfield Estates' Lone Birch project. Clean and simple, it's got moderately ripe apple flavors and no faux oak.",,85,12,Washington,Yakima Valley,Lone Birch 2012 Chardonnay (Yakima Valley),Chardonnay,Lone Birch,2012,"Yakima Valley,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.601557,-120.510842,325,34,13.8,750,White,not_imported
United States of America,"Vivid aromas of tart cherry and cranberry are followed by equally vivid, crisp and tangy flavors that echo the cherry and cranberry but add richer plum notes and nuances of cinnamon, nutmeg and cedar. This is so well balanced and bright that it tastes lip-smacking delicious now but will improve with age through at least 2020.",,90,48,California,Livermore Valley,Steven Kent 2012 Cabernet Sauvignon (Livermore Valley),Cabernet Sauvignon,Steven Kent,2012,"Livermore Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,42.868581,-94.185239,347,56,13.5,750,Red,not_imported
United States of America,"Sweet and jammy fruit flavors suggest canned cherry and plum. That sweetness is offset by the drying, earthy tannins and flavor of dried herb.",Proprietor's Reserve,87,30,Washington,Columbia Valley (WA),Maryhill 2010 Proprietor's Reserve Zinfandel (Columbia Valley (WA)),Zinfandel,Maryhill,2010,"Columbia Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.294767,-117.91747,711,24,15.8,750,Red,not_imported
Austria,"This is ripe, with a creamy and peppery character that's balanced with intense red-apple and pineapple flavors. It's textured and infused with grapefruit acidity. Ready to drink. Screwcap.",Hochterrassen,88,17,Niederösterreich,,Salomon-Undhof 2011 Hochterrassen Gruner Veltliner (Niederosterreich),Grüner Veltliner,Salomon-Undhof,2011,"Niederösterreich,Austria",7.394704769,19.45019365,6.792561746,80.54383606,50.32248083,15.54089694,48.281781,15.763246,298,28,12,750,White,"Fruit of the Vines, Inc"
United States of America,"From the eastern side of the Napa Valley, this combines 84% Grenache with 16% Mourvèdre, harvesting the best clusters of the grapes specifically for this light, dry wine. The juice is left to ferment and rest in concrete egg and neutral French oak. Light-copper in color, it's perfumed in jasmine, with accents of white peach, lime and strawberry, light and ethereal with a backbone of focused acidity.",McGah Vineyard,92,35,California,Rutherford,Kale 2016 McGah Vineyard Rose (Rutherford),Rosé,Kale,2016,"Rutherford,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,40.826489,-74.106809,33,67,12.9,750,Rose,not_imported
United States of America,"Nutty barrel smoke emerges first, then the fruits trend toward tropical, with pineapple and guava tones. Buttercream and salted caramel are laced throughout the palate, where vanilla ash flavors on the midpalate are balanced by bitter apple skins and Meyer lemon pith on the backend.",Reserve,91,46,California,Paso Robles,Daou 2013 Reserve Chardonnay (Paso Robles),Chardonnay,Daou,2013,"Paso Robles,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,35.626765,-120.691246,231,45,14.5,750,White,not_imported
Germany,"Wisps of smoke and slate extend savory, mineral contrasts to sun-kissed grapefruit and tangerine flavors in this penetrating dry Riesling. It's nervy and brisk, anchored by strikes of lime and lemon acidity and a lingering, steely finish. It's a powerful wine that should continue to improve through 2025.",Kaseler Nies'chen GG Trocken,94,50,Mosel,,Reichsgraf von Kesselstatt 2014 Kaseler Nies'chen GG Trocken Riesling (Mosel),Riesling,Reichsgraf von Kesselstatt,2014,"Mosel,Germany",7.677911351,16.99427104,5.988472622,77.46859794,41.7467436,12.88818694,50.366929,7.583098,64,48,12,750,White,American B.D
Austria,"Full-fruited blueberry fills nose and palate with pure aroma. The body has perceptible but gentle grip while some notes of iron-oxide and ripe, red cherry creep in. There is liveliness, freshness and drive. Drink soon.",Rust,89,14,Burgenland,,Gunter Triebaumer 2014 Rust Zweigelt (Burgenland),Zweigelt,Gunter Triebaumer,2014,"Burgenland,Austria",7.394704769,19.45019365,6.792561746,80.54383606,50.32248083,15.54089694,47.5,16.416667,333,35,13,750,Red,Magellan Wine Imports
United States of America,"Here's a delicious Cabernet for drinking now, although it may gain a note or two with a few years in the cellar. It's dry and full-bodied, with flavors of black currants, cassis, anise, dark chocolate and smoky oak.",Twenty Bench,88,22,California,Napa Valley,Nine North Wine Company 2012 Twenty Bench Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Nine North Wine Company,2012,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.023468,-84.450465,243,38,13.5,750,Red,not_imported
New Zealand,"This is a light- to medium-bodied example of New Zealand Sauvignon Blanc, one that offers somewhat pungent, sweaty aromas that veer toward scallion at times, followed by mouth-puckering grapefruit flavors.",,87,18,Nelson,,Woollaston 2014 Sauvignon Blanc (Nelson),Sauvignon Blanc,Woollaston,2014,"Nelson,New Zealand",12.19364977,6.734552292,2.381810766,102.0731116,41.56097643,12.69657044,-41.099407,173.428876,0,30,12.5,750,White,San Francisco Wine Exchange
United States of America,"Super-dark in color, this extracted wine offers a reductive note on the nose, followed by a rustic tinge of hay and brick. Intensely flavored and oaked, it finishes unexpectedly herbal and dry.",The Ranch,87,54,California,Napa Valley,Snowden 2013 The Ranch Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Snowden,2013,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.023468,-84.450465,243,32,14.5,750,Red,not_imported
Chile,"About as typical and pleasant as you'll find in this price range. The nose is snappy, with aromas of fresh peas, bell pepper, citrus and wild herbs. Feels light and fresh, with flavors of lime and apple alongside tangerine.",Reserva,87,10,Casablanca Valley,,Ventisquero 2011 Reserva Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Ventisquero,2011,"Casablanca Valley,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-33.320586,-71.410076,268,39,13,750,White,San Francisco Wine Exchange
United States of America,"Terra Valentine's Pinot boasts fruit with long hangtime, and ripe flavors of raspberry and pomegranate. It's rather soft and oaky though so drink now.",,87,48,California,Sonoma Coast,Terra Valentine 2011 Pinot Noir (Sonoma Coast),Pinot Noir,Terra Valentine,2011,"Sonoma Coast,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.41699,-123.099029,68,24,14.9,750,Red,not_imported
United States of America,"This is unusually pale, with a suggestion of a tawny, slightly oxidized hue. The soft entry brings dusty spices and tart cherry fruit. It finishes with some darker, slightly charred tones, and a hint of cigar. Drink up.",,86,25,Oregon,Chehalem Mountains,Dion 2014 Pinot Noir (Chehalem Mountains),Pinot Noir,Dion,2014,"Chehalem Mountains,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,38,13.8,750,Red,not_imported
Portugal,"With 12 months oak of aging, this is a rich wine, still showing spice and toast from the wood. That character is finely balanced by the rich black fruit and the acidity. It is a fine wine, ripe and still developing. Drink from 2018.",Lima Mayer,91,20,Alentejano,,Quinta de Sao Sebastiao 2013 Lima Mayer Red (Alentejano),Portuguese Red,Quinta de São Sebastião,2013,"Alentejano,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,39.78373,-100.445882,833,44,13.5,750,Red,Iberia Wine & Spirits LLC
United States of America,"Grapefruit scents and flavors dominate this tasty wine. Some will find it identifies more closely with something akin to New Zealand Sauvignon Blanc, rather than a seasalty Albariño from Spain. No matter: It's fresh and zippy and best enjoyed within a couple years of the vintage.",,88,21,Oregon,Umpqua Valley,Abacela 2015 Albarino (Umpqua Valley),Albariño,Abacela,2015,"Umpqua Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,43.36547,-123.468541,107,46,13.2,750,White,not_imported
Australia,"This is a prime example of how blending Cabernet and Shiraz can benefit both. The Shiraz provides texture and amplitude, the Cabernet soaring cassis aromas and length on the finish. Smoky mocha-tinged oak frames that impressive velvety fruit, only slowly fading away. Drink 2018–2030.",,93,40,South Australia,Padthaway,Henry's Drive Vignerons 2012 Shiraz-Cabernet Sauvignon (Padthaway),Shiraz-Cabernet Sauvignon,Henry's Drive Vignerons,2012,"Padthaway,South Australia,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-36.586036,140.521873,57,44,14.5,750,Red,Quintessential Wines
Argentina,"Saturated and pitch black to look at, and not much different in scent. This is a fully extracted, modern Bonarda that's well made and generous. Full-bodied wine lovers should like the meaty, dark berry and cocoa flavors. Tannic but layered on the finish.",Broquel,89,15,Mendoza Province,Mendoza,Trapiche 2010 Broquel Bonarda (Mendoza),Bonarda,Trapiche,2010,"Mendoza,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.870072,-68.547997,1032,43,14,750,Red,The Wine Group
Argentina,"A studly Malbec sourced from the Altamira section of the Uco Valley, then aged 18 months in new French oak. Much of this wine is fermented in plastic bins (not tanks), and the affiliated intensity grabs your attention. The blackberry flavors are potent and backed by heavy chocolate and toast. Lots of mouthfeel and power, with tannic grab. This wine can age several more years.",Catena Nicasia Vineyard,92,110,Mendoza Province,Uco Valley,Bodega Catena Zapata 2004 Catena Nicasia Vineyard Malbec (Uco Valley),Malbec,Bodega Catena Zapata,2004,"Uco Valley,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.578847,-58.435308,17,65,13.9,750,Red,Billington Imports
Spain,"Only if you enjoy very lean, ultrafresh and tart red wines will this work. It starts with simple punchbowl aromas of red grapes and berry, and then comes a skinny, tart, grating palate that's all acid and no substance. Calling it “traditional” or a “terroir” wine would only be misleading.",,81,13,Levante,Jumilla,Torre Castillo 2008 Monastrell (Jumilla),Monastrell,Torre Castillo,2008,"Jumilla,Levante,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,38.473471,-1.328545,505,50,13.5,750,Red,Kysela Pere et Fils
United States of America,"The aromas bring notes of herb, sweet tobacco and ash. The plum flavors are tart and full in feel, with the tannins giving a (quite) chalky squeeze.",,87,16,Idaho,,Sawtooth 2012 Cabernet Sauvignon,Cabernet Sauvignon,Sawtooth,2012,"Idaho,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,43.644764,-114.015407,2258,27,14.2,750,Red,not_imported
Argentina,"Familiar varietal aromas of lychee and scented candle come with a hint of petrol. Punchy and crisp in feel, this tastes of garden variety lemon-lime, banana and lychee. A crisp but rudimentary finish closes things out.",Made with Organic Grapes,86,13,Other,Cafayate,Cuma 2015 Made with Organic Grapes Torrontes (Cafayate),Torrontés,Cuma,2015,"Cafayate,Other,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-26.071047,-65.980065,1632,36,13.4,750,White,"Frederick Wildman & Sons, Ltd"
United States of America,"Dark in color and meaty, this stainless-steel-fermented wine is made from Pinot Gris grapes from the Rocky Hill Vineyard and Pinot Noir grapes from Gold Rock Vineyard. Together, they offer a crisp interpretation of strawberry, watermelon and peach, finishing light and bright.",,90,28,California,Sonoma Mountain,Stewart Cellars 2016 Rose (Sonoma Mountain),Rosé,Stewart Cellars,2016,"Sonoma Mountain,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.32297,-122.574984,689,42,13.5,750,Rose,not_imported
Portugal,"Fermented in open stone lagars, this wine has the typical opulent structure that comes from this time-honored technique. With its dark tannins and concentrated black fruits, this wine, dominated by Touriga Nacional, is ready to drink.",Grande Reserva,93,29,Douro,,Quinta do Sagrado 2009 Grande Reserva Red (Douro),Portuguese Red,Quinta do Sagrado,2009,"Douro,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,41.170042,-7.30475,567,36,14,750,Red,"Skurnik Wines, Inc"
United States of America,"Three quarters Sauvignon Blanc and the rest Sémillon, this attractive white wine has an appealing snap to the fruit and an underlying acidity that sets it up in lively fashion. It's a food wine through and through, lightly toasty, with green berries and apples providing the clean fruit flavors. A fine value.",Snowflake White Wine,89,16,Washington,Columbia Valley (WA),Davenport Cellars 2009 Snowflake White Wine White (Columbia Valley (WA)),White Blend,Davenport Cellars,2009,"Columbia Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.294767,-117.91747,711,52,14.3,750,White,not_imported
United States of America,"An attractive floral, appley aroma and generous, ripe apple and herb flavors give this medium-bodied wine plenty of personality.",,88,10,California,Mendocino County,Castle Rock 2015 Sauvignon Blanc (Mendocino County),Sauvignon Blanc,Castle Rock,2015,"Mendocino County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.317649,-123.41264,797,19,13.5,750,White,not_imported
United States of America,"Very dry and rather tannic, this Merlot strikes off in interesting directions. Along with the usual cherries and blackberries, it shows an array of dried-crushed herb aromas and flavors, such as thyme and sage. This increases balance and complexity, not to mention the wine's versatility at the table.",,87,13,California,Dry Creek Valley,Sonoma Creek 2005 Merlot (Dry Creek Valley),Merlot,Sonoma Creek,2005,"Dry Creek Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,48,14.5,750,Red,not_imported
Austria,"The appetizing perfume of candied orange peel rises seductively from the glass. The palate counters with the very fresh but ripe fruit of fleshy juicy yellow mirabelles. These are joined by tangy, zesty grapefruit freshness, creating a concentrated fruit-driven palate of great tension and concentration. This is a wonderful tightrope act between tang and generosity. The finish is long and clean.",Pfaffenberg Reserve,93,45,Kremstal,,Stift Gottweig 2015 Pfaffenberg Reserve Riesling (Kremstal),Riesling,Stift Göttweig,2015,"Kremstal,Austria",7.394704769,19.45019365,6.792561746,80.54383606,50.32248083,15.54089694,48.276912,14.276361,265,61,13,750,White,Circo Vino
United States of America,"An early freeze shut down the vineyards in 2009, and produced wines that are less immediately generous than the ripe, fruit-driven 2008s. The vanilla wafer aromas from barrel aging show prominently here, with the wild berry fruit being tart and so compact as to be almost invisible at first. But patience is rewarded, as the wine fills in gracefully with nuanced notes of herb and dried leaf, as well as balanced acids.",Jerusalem Hill,89,85,Oregon,Willamette Valley,Domaine Serene 2009 Jerusalem Hill Pinot Noir (Willamette Valley),Pinot Noir,Domaine Serene,2009,"Willamette Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,45.344287,-122.667037,50,72,14.5,750,Red,not_imported
Australia,"The vineyard was planted in 1853, so these are some seriously old vines, yielding seriously concentrated fruit. The briary, blackberry fruit is lavished with toasty, vanilla-scented French oak, which melds nicely into a full-bodied, slightly creamy-textured wine that avoids any sensation of warmth or heaviness. Drink now–2030. Frederick Wildman & Sons",Old Garden Vineyard,93,82,South Australia,Barossa Valley,Hewitson 2013 Old Garden Vineyard Mourvedre (Barossa Valley),Mourvèdre,Hewitson,2013,"Barossa Valley,South Australia,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-34.581713,138.998787,506,51,14,750,Red,USA Wine West
United States of America,"Winemaker Markus Niggli is making remarkable whites from unusual, hard-to-find grapes, in this case a blend of 50% Kerner, 25% Riesling and 25% Bacchus. This slight, seductive white dances in acidity that's got an electric mouthfeel, with a bouquet of citrus and herbs that you'll be thinking about a long time.",Artist Series,90,19,California,Lodi,Borra 2013 Artist Series White (Lodi),White Blend,Borra,2013,"Lodi,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.097198,-121.38785,1,51,13.7,750,White,not_imported
Spain,"Pulpy and also minerally on the nose, with basic white fruit aromas. Zesty, crisp and defined by slate and lime in the mouth, with apple, lime and dryness to the flavor profile. A composed little white wine for simple sipping or white sangria.",,87,10,Northern Spain,Rioja,El Coto 2010 Viura (Rioja),Viura,El Coto,2010,"Rioja,Northern Spain,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,42.328553,-2.467492,826,43,12,750,White,"Frederick Wildman & Sons, Ltd"
United States of America,"This dry estate wine is voluptuous and richly floral, with well-developed stone fruit and melon flavors. Medium-bodied, it's weighty enough to be enjoyed on its own or at the table with a wide array of foods.",La Cruz Vineyard,88,30,California,Sonoma Coast,Keller 2014 La Cruz Vineyard Pinot Gris (Sonoma Coast),Pinot Gris,Keller,2014,"Sonoma Coast,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.41699,-123.099029,68,36,14.1,750,White,not_imported
United States of America,"Meaty and substantial on the palate, this wine comes from several vineyard sites and was fermented in stainless steel tanks. It has a juicy note of sweet, ripe red fruit that's inviting.",Dichotomy Rosé of,87,25,California,Russian River Valley,Friedeman 2016 Dichotomy Rose of Pinot Noir (Russian River Valley),Pinot Noir,Friedeman,2016,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,32,14.1,750,Rose,not_imported
United States of America,Pristine lime zest and lemon notes add lift to rounded apple and nectarine flavors on the palate of this full-bodied richly textured Riesling. There's a weightiness on the midpalate but the finish is refreshing and crisp.,Red Oak Vineyard,87,24,New York,Finger Lakes,Lamoreaux Landing 2015 Red Oak Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing,2015,"Finger Lakes,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.621495,-84.198677,277,36,12.7,750,White,not_imported
Italy,"This informal red wine is the kind of bottle you'll want to stash away in the kitchen for easy pairings with weekday family dinners. The bouquet presents red berry, almond and cola nuances.",,87,16,Sicily & Sardinia,Alcamo,Cantine Rallo 2009 Nero d'Avola (Alcamo),Nero d'Avola,Cantine Rallo,2009,"Alcamo,Sicily & Sardinia,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,37.97665,12.962674,285,33,14,750,Red,Francoli USA
